time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.7431379816e-07,1.71761333923e-05,10.0049949236,0.00444560791687,6.81207965894e-05,0.0,-3.15730931336e-05,0.00104528962018,0.166486383569,0.021928207273,-0.00430063482793,0.0,457.1095501104597,456.76679980919624,457.2082273321627,458.95157281965544
0.12000000000000001,-9.07501112377e-05,0.00020160522182,10.0228264458,0.00609151540569,0.0191489834855,0.0,-0.0053174158349,0.00531879048382,0.427820337717,0.0143198755881,0.0426876157586,0.0,484.4851287810776,488.00463476322955,484.96402878062537,484.39224083548
0.18,-0.000892590971172,0.000675178345823,10.0550497742,0.00749344978098,0.0231735434947,0.0,-0.0219071271028,0.0106450481267,0.646180781974,0.00496088864255,0.0281819044097,0.0,473.2396648578346,472.12257930771193,474.16905520662164,473.4495175437578
0.23999999999999996,-0.00274025993565,0.00151923242298,10.0987431962,0.0156287972836,0.0253813351734,0.0,-0.0399358280245,0.0184315243882,0.810148126325,-0.0269305043401,0.0190152744737,0.0,457.8977764903141,457.16816646951526,458.2910599504299,455.7495586323556
0.3,-0.00566247407668,0.00294021355917,10.150225319,0.0141481512793,0.0265705734834,0.0,-0.0575941120932,0.0287801916514,0.905849856906,-0.0239279530443,0.0151247284877,0.0,436.3479141820248,436.02298743430845,436.3234580990156,436.57387752110503
0.36000000000000004,-0.00971833891005,0.00497014700315,10.2086463896,0.0131822775413,0.0325721535028,0.0,-0.0782169615715,0.0387718721062,1.04138817658,-0.0175243107682,0.0386780582064,0.0,447.48979738411344,449.40284695112746,449.27989972483033,449.79872075888244
0.4200000000000001,-0.0152987382959,0.00764507984317,10.2802952541,0.0121382487331,0.0351236550389,0.0,-0.108132937295,0.0502536958626,1.34658757841,-0.0202513531727,0.0320798608852,0.0,499.9338162910246,499.4533263408486,498.4555705475475,498.25636234638625
0.48000000000000015,-0.0225774054358,0.0109386373456,10.3645748499,0.0181446486291,0.0478130596665,0.0,-0.135772397215,0.0601262409489,1.46252910296,0.00801078430479,0.0668406305172,0.0,441.72375799501674,444.5819605691295,443.54728120698417,445.8621319239168
0.5400000000000001,-0.0318485828381,0.0149454859698,10.4565518112,0.0187340136477,0.0661747846434,0.0,-0.175287026376,0.0734905532992,1.60306693871,0.0106168603225,0.0241241285011,0.0,454.4372339861724,451.00238081479785,451.2935114893824,451.503674745566
0.6000000000000002,-0.0438376877738,0.0197829769392,10.557163559,0.0219392629282,0.0679351347173,0.0,-0.224536346814,0.0881243460476,1.7504172779,-0.00817935909081,0.0166799742339,0.0,455.0714605745125,454.4752424070177,455.4704864770107,453.9648154724875
0.6600000000000003,-0.0589350809277,0.0255930546369,10.6683323885,0.0219024342524,0.069077847902,0.0,-0.278819655816,0.105542963433,1.95486696397,-0.0168567898559,0.0197775856896,0.0,471.94064835661624,472.17956997063766,473.11880202562264,472.4504063714119
0.7200000000000003,-0.0770545511045,0.0323704733629,10.7879238798,0.0243248407968,0.071464327565,0.0,-0.325379612221,0.120587052963,2.03135472893,0.00227785032895,0.0306364786787,0.0,434.05183463475106,434.96221439237286,432.2254902398451,433.83511227779485
0.7800000000000004,-0.0983468498081,0.0402105468037,10.9167201757,0.0261184593514,0.0732928673325,0.0,-0.384558954257,0.140938926808,2.2613963599,0.0152296883725,0.028904879936,0.0,480.694637735487,480.5636216626799,480.83700100978587,481.81703910208233
0.8400000000000004,-0.122915842638,0.0491921848862,11.0546347705,0.0275966485666,0.0816303737272,0.0,-0.435245023106,0.158597021243,2.33552545935,0.00571288619107,-0.000470097563935,0.0,435.4466168836617,432.98243090790123,435.01686810322525,434.2191484260528
0.9000000000000005,-0.150683506277,0.0593332827143,11.197169037,0.0461635024857,0.0841290537994,0.0,-0.490564544025,0.181319835607,2.41535112057,-0.0422667075356,0.0157846305639,0.0,435.42588915309693,436.7835027258635,439.40107651417196,435.4054253126668
0.9600000000000005,-0.182134931089,0.0713022087606,11.3477595048,0.0485982322811,0.0938926133281,0.0,-0.558944897881,0.21792840899,2.60377799216,-0.0679195692378,-0.017964036652,0.0,471.86378641481326,469.25129178241843,472.12471754459455,470.13983306894704
1.0200000000000005,-0.217269996288,0.0851955139848,11.5032591992,0.046581599129,0.0931111280533,0.0,-0.612176089587,0.245028330829,2.57959943658,-0.0848828275994,-0.0252471226796,0.0,404.86944227143874,404.2136094591875,403.89962137133256,402.3619743002826
1.0800000000000005,-0.255898339576,0.100835319431,11.6606699363,0.0449872028397,0.0916932703956,0.0,-0.675286801991,0.276108424396,2.66722784377,-0.0655584533098,-0.0300634052474,0.0,440.1160974007231,439.71712278365675,440.8861513665093,442.4748903583381
1.1400000000000006,-0.297976830086,0.118150385279,11.8199427878,0.0413509371452,0.0909363653333,0.0,-0.727291091029,0.300762973375,2.64193220475,-0.0728506640471,-0.0425360385236,0.0,404.34525935454394,403.2194186502146,404.11605580053885,403.454203990056
1.2000000000000006,-0.343490462354,0.137034080586,11.9813514333,0.0382984804355,0.0884399946716,0.0,-0.789570990463,0.328386568518,2.73814902084,-0.0866872446927,-0.0465885695111,0.0,443.7888858280163,443.45503584284825,444.51873004903786,443.37863398396564
1.2600000000000007,-0.393182304625,0.157712366808,12.1541109843,0.0334360849617,0.0857156567407,0.0,-0.866419762509,0.360227085499,3.01983238614,-0.0813991677035,-0.0446332275842,0.0,499.3949672355495,499.53658588003685,498.90720102960614,499.2880891532128
